date,acceleration,x,y,z
07/22/2016 01:11:48.087568,-0.010941,0.0,0.0,0.0 
07/22/2016 01:11:48.092780,-0.010346,0.0,0.0,0.0 
07/22/2016 01:11:48.093254,-0.010208,0.0,0.0,0.0 
07/22/2016 01:11:48.093926,-0.011032,-0.061035,-0.186035,1.029541 
07/22/2016 01:11:48.095595,-0.010513,0.0,0.0,0.0 
07/22/2016 01:11:48.096070,-0.011536,0.0,0.0,0.0 
07/22/2016 01:11:48.096510,-0.009628,0.0,0.0,0.0 
07/22/2016 01:11:48.097935,-0.009751,0.0,0.0,0.0 
07/22/2016 01:11:48.098638,-0.010315,-0.061279,-0.18457,1.029785 
07/22/2016 01:11:48.099077,-0.01001,0.0,0.0,0.0 
07/22/2016 01:11:48.104590,-0.009995,0.0,0.0,0.0 
07/22/2016 01:11:48.105073,-0.010529,0.0,0.0,0.0 
07/22/2016 01:11:48.105640,-0.010834,0.0,0.0,0.0 
07/22/2016 01:11:48.107056,-0.009583,-0.059814,-0.187744,1.030029 
07/22/2016 01:11:48.107537,-0.00943,0.0,0.0,0.0 
07/22/2016 01:11:48.108942,-0.010895,0.0,0.0,0.0 
07/22/2016 01:11:48.109420,-0.009689,0.0,0.0,0.0 
07/22/2016 01:11:48.109861,-0.010697,0.0,0.0,0.0 
07/22/2016 01:11:48.114712,-0.01059,-0.060547,-0.187256,1.029785 
07/22/2016 01:11:48.127052,-0.01091,0.0,0.0,0.0 
07/22/2016 01:11:48.127534,-0.010315,0.0,0.0,0.0 
07/22/2016 01:11:48.127980,-0.011124,0.0,0.0,0.0 
07/22/2016 01:11:48.130646,-0.011475,0.0,0.0,0.0 
07/22/2016 01:11:48.131360,-0.010742,-0.060791,-0.185791,1.031982 
07/22/2016 01:11:48.205429,-0.010666,0.0,0.0,0.0 
07/22/2016 01:11:48.205905,-0.010742,0.0,0.0,0.0 
07/22/2016 01:11:48.206346,-0.01033,0.0,0.0,0.0 
07/22/2016 01:11:48.206784,-0.012787,0.0,0.0,0.0 
07/22/2016 01:11:48.208258,-0.01207,-0.058594,-0.185547,1.029785 
07/22/2016 01:11:48.210651,-0.011246,0.0,0.0,0.0 
07/22/2016 01:11:48.211126,-0.011505,0.0,0.0,0.0 
07/22/2016 01:11:48.211566,-0.011292,0.0,0.0,0.0 
07/22/2016 01:11:48.216563,-0.010025,0.0,0.0,0.0 
07/22/2016 01:11:48.227943,-0.010666,-0.062256,-0.188721,1.03125 
07/22/2016 01:11:48.228421,-0.011551,0.0,0.0,0.0 
07/22/2016 01:11:48.228865,-0.011078,0.0,0.0,0.0 
07/22/2016 01:11:48.230466,-0.01091,0.0,0.0,0.0 
07/22/2016 01:11:48.230947,-0.011872,0.0,0.0,0.0 
